BOTTLE,20020319WHPSIOKJU
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20020319
#original HYD file: ar18_ehy.txt   Tue Mar 19 10:58:00 2002
#original SUM file: ar18_esu.txt   Tue Mar 19 10:57:28 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,THETA
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
    46BS1495_1,  AR18,   740,  1,      3,     14,2,19950907,0450, 65.5832, -24.9172,   63,     56.2,   9.0014,  34.6617,2,  34.6620,2,   -999.0,9,  -999.00,9,  -999.00,9,  8.9953
    46BS1495_1,  AR18,   741,  1,      4,     14,2,19950907,0504, 65.6670, -25.2687,   85,     87.5,   5.8950,  35.0671,2,  35.0670,2,   -999.0,9,  -999.00,9,  -999.00,9,  5.8876
    46BS1495_1,  AR18,   742,  1,      5,     14,2,19950907,0622, 65.7513, -25.6498,   25,    253.7,   5.6543,  35.0668,2,  35.0680,2,   -999.0,9,  -999.00,9,  -999.00,9,  5.6330
    46BS1495_1,  AR18,   743,  1,      6,     14,2,19950907,1032, 65.8347, -25.9918,   21,    208.6,   5.6281,  35.0699,2,  35.0710,2,   -999.0,9,  -999.00,9,  -999.00,9,  5.6107
    46BS1495_1,  AR18,   744,  1,      7,     10,2,19950907,1213, 65.9317, -26.4808,   28,    273.8,   5.6962,  35.0592,2,  35.0600,2,   -999.0,9,  -999.00,9,  -999.00,9,  5.6731
    46BS1495_1,  AR18,   745,  1,      8,     14,2,19950907,1332, 66.0147, -26.7980,   44,    442.4,  -0.5458,  34.9012,2,  34.9010,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.5614
    46BS1495_1,  AR18,   746,  1,      9,     15,2,19950907,1448, 66.0798, -27.0470,   65,    652.3,  -0.3357,  34.8871,2,  34.8850,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.3609
    46BS1495_1,  AR18,   747,  1,     10,     14,2,19950907,1705, 66.1497, -27.2490,   52,    521.5,  -0.0999,  34.8651,2,  34.8640,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.1205
    46BS1495_1,  AR18,   748,  1,     11,      7,2,19950907,1853, 66.2493, -27.7427,   47,    474.7,  -0.1942,  34.8718,2,  34.8730,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.2123
    46BS1495_1,  AR18,   749,  1,     12,      7,2,19950907,2027, 66.3320, -28.1270,   34,    335.5,   0.5982,  34.7531,2,  34.7550,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.5836
    46BS1495_1,  AR18,   750,  1,      1,      7,2,19950907,2232, 66.4160, -28.5103,   29,    288.5,   0.7711,  34.8252,2,  34.8260,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.7582
    46BS1495_1,  AR18,   751,  1,      2,     10,2,19950908,0000, 66.4957, -28.8965,   31,    310.7,   0.5050,  34.8463,2,  34.8490,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.4918
    46BS1495_1,  AR18,   752,  1,      3,      7,2,19950908,0126, 66.5873, -29.2692,   30,    298.4,   0.8391,  34.7931,2,  34.7930,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.8256
    46BS1495_1,  AR18,   753,  1,      4,      7,2,19950908,0248, 66.6653, -29.6480,   29,    290.7,   0.9747,  34.8108,2,  34.8110,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.9613
    46BS1495_1,  AR18,   754,  1,      5,     15,2,19950908,0944, 66.7500, -30.0478,   32,    313.6,   1.3951,  34.8234,2,  34.8250,2,   -999.0,9,  -999.00,9,  -999.00,9,  1.3794
    46BS1495_1,  AR18,   755,  1,      6,      7,2,19950908,1117, 66.8318, -30.4442,   40,    402.1,   0.4268,  34.8423,2,  34.8450,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.4096
    46BS1495_1,  AR18,   756,  1,      7,      7,2,19950908,1251, 66.9140, -30.8283,   57,    568.1,   0.4874,  34.8270,2,  34.8280,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.4620
    46BS1495_1,  AR18,   757,  1,      8,      7,2,19950908,1424, 66.9973, -31.2132,   36,    352.8,   1.4836,  34.7441,2,  34.7440,2,   -999.0,9,  -999.00,9,  -999.00,9,  1.4656
    46BS1495_1,  AR18,   758,  1,      9,      7,2,19950908,1551, 67.0820, -31.5993,   29,    289.2,   2.5561,  34.7367,2,  34.7350,2,   -999.0,9,  -999.00,9,  -999.00,9,  2.5390
    46BS1495_1,  AR18,   759,  1,     10,      7,2,19950908,1718, 67.1625, -31.9923,   30,    294.2,   2.0322,  34.7036,2,  34.7020,2,   -999.0,9,  -999.00,9,  -999.00,9,  2.0161
    46BS1495_1,  AR18,   760,  1,     11,     10,2,19950908,1843, 67.2493, -32.3600,   37,    367.4,   1.8564,  34.7111,2,  34.7100,2,   -999.0,9,  -999.00,9,  -999.00,9,  1.8366
    46BS1495_1,  AR18,   761,  1,     12,     15,2,19950908,2327, 67.7747, -31.6677,   51,    511.0,   0.9950,  34.7893,2,  34.7900,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.9704
    46BS1495_1,  AR18,   762,  1,      2,     14,2,19950909,0113, 67.6798, -31.1703,   43,    419.6,   0.8720,  34.7864,2,  34.7910,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.8524
    46BS1495_1,  AR18,   762,  1,      1,     10,2,19950909,0113, 67.6798, -31.1703,   43,    421.4,   0.8453,  34.7857,2,-999.0000,9,   -999.0,2,  -999.00,2,  -999.00,2,  0.8258
    46BS1495_1,  AR18,   763,  1,      3,     10,2,19950909,0248, 67.5980, -30.7872,   40,    401.8,   0.8486,  34.8133,2,  34.8150,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.8300
    46BS1495_1,  AR18,   764,  1,      4,     10,2,19950909,0434, 67.4992, -30.3973,   24,    233.0,   2.8355,  34.7216,2,  34.8210,2,   -999.0,9,  -999.00,9,  -999.00,9,  2.8213
    46BS1495_1,  AR18,   765,  1,      5,     10,2,19950909,0559, 67.4162, -30.0828,   17,    168.4,   2.6749,  34.6632,2,  34.6610,2,   -999.0,9,  -999.00,9,  -999.00,9,  2.6650
    46BS1495_1,  AR18,   766,  1,      6,      7,2,19950909,0714, 67.3492, -29.8007,   18,    177.8,   1.6335,  34.5776,2,  34.5780,2,   -999.0,9,  -999.00,9,  -999.00,9,  1.6245
    46BS1495_1,  AR18,   766,  1,      7,     14,2,19950909,0714, 67.3492, -29.8007,   18,    178.8,   1.6298,  34.5773,2,-999.0000,9,   -999.0,2,  -999.00,2,  -999.00,2,  1.6208
    46BS1495_1,  AR18,   767,  1,      8,     10,2,19950909,0847, 67.2505, -29.4067,   23,    224.0,   0.4499,  34.6966,2,  34.6960,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.4407
    46BS1495_1,  AR18,   768,  1,      9,     15,2,19950909,1010, 67.1663, -29.0418,   28,    274.0,  -0.0117,  34.7721,2,  34.7720,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.0221
    46BS1495_1,  AR18,   769,  1,     10,      7,2,19950909,1140, 67.0653, -28.6607,   31,    306.3,  -0.0062,  34.7752,2,  34.7760,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.0179
    46BS1495_1,  AR18,   770,  1,     11,     10,2,19950909,1307, 66.9825, -28.2972,   33,    329.6,  -0.0279,  34.8183,2,  34.8190,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.0405
    46BS1495_1,  AR18,   771,  1,     12,     10,2,19950909,1513, 66.8783, -27.7568,   35,    349.8,  -0.0344,  34.8108,2,  34.8110,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.0479
    46BS1495_1,  AR18,   772,  1,      1,     10,2,19950909,1648, 66.7988, -27.3910,   36,    361.2,  -0.0502,  34.8317,2,  34.8320,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.0640
    46BS1495_1,  AR18,   773,  1,      2,     10,2,19950909,1838, 66.6995, -27.0015,   44,    443.4,  -0.1050,  34.8591,2,  34.8600,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.1222
    46BS1495_1,  AR18,   774,  1,      3,     15,2,19950909,2022, 66.6003, -26.6322,   54,    538.2,  -0.2256,  34.8772,2,  34.8760,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.2464
    46BS1495_1,  AR18,   775,  1,      4,      7,2,19950909,2205, 66.5202, -26.2633,   63,    631.5,  -0.3519,  34.8906,2,  34.8900,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.3762
    46BS1495_1,  AR18,   776,  1,      5,     10,2,19950909,2347, 66.4300, -25.8785,   62,    623.6,  -0.5364,  34.8991,2,  34.8980,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.5594
    46BS1495_1,  AR18,   777,  1,      6,     15,2,19950910,0121, 66.3323, -25.4945,   17,    168.4,   5.7341,  35.0653,2,  35.0660,2,   -999.0,9,  -999.00,9,  -999.00,9,  5.7200
    46BS1495_1,  AR18,   778,  1,      7,     10,2,19950910,0238, 66.2483, -25.1632,   12,    118.9,   6.0663,  35.0459,2,  35.0470,2,   -999.0,9,  -999.00,9,  -999.00,9,  6.0561
    46BS1495_1,  AR18,   779,  1,      8,     15,2,19950910,0410, 66.1302, -24.7480,   11,    100.2,   6.2891,  35.0362,2,  35.0390,2,   -999.0,9,  -999.00,9,  -999.00,9,  6.2803
    46BS1495_1,  AR18,   780,  1,      9,     10,2,19950910,0546, 66.0477, -24.3352,   65,     58.5,   8.9418,  34.7714,2,  34.7690,2,   -999.0,9,  -999.00,9,  -999.00,9,  8.9356
    46BS1495_1,  AR18,   781,  1,     10,     15,2,19950910,0657, 65.9677, -23.9963,   34,     28.2,   9.5555,  34.3610,2,  34.3590,2,   -999.0,9,  -999.00,9,  -999.00,9,  9.5524
    46BS1495_1,  AR18,   782,  1,     11,     15,2,19950910,1125, 66.5003, -22.9905,   49,     46.9,   8.9750,  34.4781,2,  34.4740,2,   -999.0,9,  -999.00,9,  -999.00,9,  8.9700
    46BS1495_1,  AR18,   783,  1,     12,     10,2,19950910,1251, 66.6842, -23.1453,   69,     61.0,   7.2621,  34.9134,2,  34.9110,2,   -999.0,9,  -999.00,9,  -999.00,9,  7.2563
    46BS1495_1,  AR18,   784,  1,      1,     10,2,19950910,1434, 66.8793, -23.3033,   22,    218.0,   5.7022,  35.0545,2,  35.0540,2,   -999.0,9,  -999.00,9,  -999.00,9,  5.6839
    46BS1495_1,  AR18,   785,  1,      2,     10,2,19950910,1626, 67.0822, -23.4617,   22,    223.7,   2.4641,  34.8568,2,  34.8910,2,   -999.0,9,  -999.00,9,  -999.00,9,  2.4511
    46BS1495_1,  AR18,   786,  1,      3,     10,2,19950910,1844, 67.3320, -23.6553,   49,    495.1,  -0.5250,  34.8970,2,  34.9010,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.5427
    46BS1495_1,  AR18,   787,  1,      5,     15,2,19950910,2120, 67.5770, -23.9263,   95,    958.0,  -0.7280,  34.9101,2,  34.9090,2,      6.7,2,    10.43,2,     0.97,2, -0.7647
    46BS1495_1,  AR18,   787,  1,      4,     10,2,19950910,2120, 67.5770, -23.9263,   95,    961.7,  -0.7295,  34.9102,2,  34.9100,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.7664
    46BS1495_1,  AR18,   787,  2,     11,     12,2,19950910,2338, 67.5688, -23.8915,   93,     20.3,   3.6810,  32.0091,2,-999.0000,9,   -999.0,2,     1.66,2,     0.15,2,  3.6798
    46BS1495_1,  AR18,   787,  2,     10,     13,2,19950910,2338, 67.5688, -23.8915,   93,     28.5,  -0.3880,  33.3155,2,-999.0000,9,      8.3,2,     4.68,2,     0.48,2, -0.3888
    46BS1495_1,  AR18,   787,  2,      9,     11,2,19950910,2338, 67.5688, -23.8915,   93,     50.5,   0.5259,  34.1874,2,-999.0000,9,      7.6,2,     4.10,2,     0.59,2,  0.5240
    46BS1495_1,  AR18,   787,  2,      8,     14,2,19950910,2338, 67.5688, -23.8915,   93,     99.8,   0.4896,  34.7088,2,-999.0000,9,      7.2,2,     6.24,2,     0.80,2,  0.4855
    46BS1495_1,  AR18,   787,  2,      7,     10,2,19950910,2338, 67.5688, -23.8915,   93,    202.9,   0.2385,  34.8335,2,-999.0000,9,      7.3,2,     6.43,2,     0.88,2,  0.2305
    46BS1495_1,  AR18,   787,  2,      6,      7,2,19950910,2338, 67.5688, -23.8915,   93,    404.7,  -0.0756,  34.8712,2,-999.0000,9,      7.3,2,     6.43,2,     0.90,2, -0.0912
    46BS1495_1,  AR18,   788,  1,     12,     12,2,19950911,0150, 67.7455, -24.2355,   13,   1328.2,  -0.7435,  34.9117,2,  34.9100,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.7986
    46BS1495_1,  AR18,   789,  1,      2,     13,2,19950911,0437, 67.9050, -24.6475,   14,   1416.0,  -0.7063,  34.9104,2,  34.9100,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.7666
    46BS1495_1,  AR18,   789,  1,      1,     12,2,19950911,0437, 67.9050, -24.6475,   14,   1417.6,  -0.7088,  34.9103,2,  34.9100,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.7692
    46BS1495_1,  AR18,   790,  1,      3,     11,2,19950911,1223, 68.0157, -24.9240,   12,   1258.3,  -0.6746,  34.9089,2,  34.9030,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.7267
    46BS1495_1,  AR18,   791,  1,      4,     13,2,19950911,1422, 68.1267, -25.2455,   81,    798.7,  -0.3110,  34.8829,2,  34.8810,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.3431
    46BS1495_1,  AR18,   792,  1,      5,     12,2,19950911,1709, 68.2303, -25.5398,   34,    334.4,   0.4740,  34.8303,2,  34.8290,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.4597
    46BS1495_1,  AR18,   793,  1,      6,     12,2,19950911,1752, 68.2587, -25.6510,   29,    275.1,   0.2082,  34.6582,2,  34.6590,2,   -999.0,9,  -999.00,9,  -999.00,9,  0.1974
    46BS1495_1,  AR18,   794,  1,      7,     13,2,19950912,0420, 68.1448, -28.7585,   24,    230.4,  -0.7085,  34.2039,2,  34.2060,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.7155
    46BS1495_1,  AR18,   795,  1,      8,     13,2,19950912,0557, 68.0747, -28.5538,   25,    252.1,  -0.2487,  34.3213,2,  34.3230,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.2574
    46BS1495_1,  AR18,   796,  1,      9,     11,2,19950912,0735, 67.9690, -28.2000,   23,    225.6,  -0.7191,  34.2355,2,  34.2380,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.7260
    46BS1495_1,  AR18,   797,  1,     10,     11,2,19950912,0903, 67.8625, -27.8608,   20,    202.7,  -0.8696,  34.1645,2,  34.1670,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.8754
    46BS1495_1,  AR18,   798,  1,     11,   -999,2,19950912,1024, 67.7553, -27.5138,   23,    229.8,  -0.8134,  34.2480,2,  34.2490,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.8202
    46BS1495_1,  AR18,   799,  1,     12,     13,2,19950912,1141, 67.6475, -27.1815,   28,    274.0,  -0.7947,  34.3680,2,  34.3700,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.8030
    46BS1495_1,  AR18,   800,  1,      1,     13,2,19950912,1258, 67.5423, -26.8500,   29,    290.4,  -0.4090,  34.5180,2,  34.5180,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.4189
    46BS1495_1,  AR18,   801,  1,      2,     13,2,19950912,1421, 67.4378, -26.5252,   31,    303.8,  -0.0093,  34.7075,2,  34.7060,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.0208
    46BS1495_1,  AR18,   803,  1,      4,     11,2,19950912,1856, 67.3350, -26.1963,   71,    709.6,  -0.2706,  34.8811,2,  34.8790,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.2988
    46BS1495_1,  AR18,   804,  1,      5,     12,2,19950912,2040, 67.2292, -25.8590,   88,    882.2,  -0.3777,  34.8907,2,  34.8880,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.4134
    46BS1495_1,  AR18,   805,  1,      6,     13,2,19950912,2358, 67.1260, -25.5293,   10,   1050.6,  -0.4709,  34.8972,2,  34.8970,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.5142
    46BS1495_1,  AR18,   806,  1,      7,     13,2,19950913,0157, 67.0242, -25.1803,   10,   1085.1,  -0.5682,  34.9022,2,  34.9030,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.6124
    46BS1495_1,  AR18,   807,  1,      8,     13,2,19950913,0524, 66.9000, -24.7897,   59,    599.8,  -0.6186,  34.9028,2,  34.9040,2,   -999.0,9,  -999.00,9,  -999.00,9, -0.6401
    46BS1495_1,  AR18,   808,  1,      9,     13,2,19950913,0635, 66.8175, -24.5797,   18,    180.4,   5.7480,  35.0596,2,  35.0600,2,   -999.0,9,  -999.00,9,  -999.00,9,  5.7329
    46BS1495_1,  AR18,   809,  1,     10,     11,2,19950913,0824, 66.7042, -24.2630,   22,    219.8,   5.7182,  35.0567,2,  35.0570,2,   -999.0,9,  -999.00,9,  -999.00,9,  5.6997
    46BS1495_1,  AR18,   810,  1,     12,     15,2,19950913,1011, 66.6168, -24.0002,   21,      2.5,   8.7873,  34.7110,2,-999.0000,9,      6.7,2,     0.58,2,     0.22,2,  8.7870
    46BS1495_1,  AR18,   810,  1,      1,     14,2,19950913,1011, 66.6168, -24.0002,   21,     20.1,   8.5311,  34.7595,2,-999.0000,9,      6.6,2,     0.78,2,     0.20,2,  8.5290
    46BS1495_1,  AR18,   810,  1,      2,     13,2,19950913,1011, 66.6168, -24.0002,   21,     50.3,   6.8863,  34.9332,2,-999.0000,9,      6.0,2,     5.26,2,     0.73,2,  6.8816
    46BS1495_1,  AR18,   810,  1,      3,     12,2,19950913,1011, 66.6168, -24.0002,   21,     98.3,   6.2349,  34.9978,2,-999.0000,9,      6.0,2,     7.12,2,     0.92,2,  6.2263
    46BS1495_1,  AR18,   810,  1,      4,     11,2,19950913,1011, 66.6168, -24.0002,   21,    203.1,   5.7740,  35.0464,2,-999.0000,9,      5.9,2,     9.06,2,     1.04,2,  5.7569
    46BS1495_1,  AR18,   810,  1,     11,     12,2,19950913,1011, 66.6168, -24.0002,   21,    209.4,   5.7756,  35.0463,2,  35.0480,2,   -999.0,9,  -999.00,9,  -999.00,9,  5.7579
    46BS1495_1,  AR18,   811,  1,      5,     14,2,19950913,1323, 66.4998, -23.6647,   18,    177.2,   6.0438,  35.0398,2,  35.0400,2,   -999.0,9,  -999.00,9,  -999.00,9,  6.0285
END_DATA
